,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
388,i am a 68 year young male 57 tall please give me,"I am a 68 year old young man, 57 tall.",I am a young 68 year old male 57 tall please give,I am a 68 year old male standing at 57. I,"I am a 68 year old young male, height 57,",I am a young male 68 years old 57 years tall.
389,Sarcoidosis one thing no physician has been able,"Can you tell me if this medicine is gluten free, PM",nan,nan,nan,nan
390,i have dystonia i have it for i think a,Name wants to know if he'll ever be able to do,Name has dystonia and wants to know if it will,I want to know if it will ever go away and if,Dystonia is a form of dystonia.,I would love to know more about the dystonia I
391,i have cystic fibrosis and i want to buy a,I have cystic fibrosis and I want to buy K,i have cystic fibrosis and i would like to buy,nan,"I have cystic fibrosis, I want to buy a",nan
392,My primary care says that even though i have had three blood,My GP says that even though I have had three blood tests,i have had 3 blood tests that confirm i am totally G,My primary care physician says there is no basis for my deficiency,"""I am completely G6PD deficient, my deficiency is",My GP says that although I have had three blood tests confirming
393,i had 4 misscarriage before i had my healthy d,My aunt is taking the following medications and has pain that is,nan,nan,nan,nan
394,i am looking for any treatments that have been found to work,I am looking for treatments that work for facial hyperpig,I am looking for treatments that are proven to work for facial,I am looking for treatments that have been shown to be effective,nan,I am looking for any treatment that has been proven to work
395,Several diseases including skin cancer and hypovitaminosis d occur,I want to know what latitude is best for Fitzpatrick type II,Several diseases including skin cancer and hypovitaminosis D occur,Several diseases including skin cancer and hypovitaminosis D occur,Many diseases including skin cancer and vitamin deficiency have been caused.,Skin cancer and hypovitaminosis D occur due to migration
396,i am a two time peg interferon non responder,I am a double PEG-interferon non-,I am a non-responder to peg interferon,I am a two-time non-responder to P,I am a patient who has been treated with peginter,Two-time peg-interferon non-responder
397,12 years ago i was bitten by tick while deer hunting.,Blood clotting tests always come back positive when someone has mild,nan,nan,nan,nan
398,For the second time today i have seen matter moving as in,For the second time today I have seen matter moving as if,For the second time today i saw some matter moving as if,For the second time today i saw matter moving like i was,nan,For the second time today I have seen matter moving as if
399,Study calims that lincomycin is no longer used,This study claims that lincomycin is no longer used,This study states that lincomycin is no longer used," contact sent Thursday March 19, 2015 3:18 p.",This study claims that lincomycin is no longer used,This study states that lincomycin is no longer used
400,My daughter's left hand ring finger was crushed in fatal door,The ring finger of my 4 year old daughter's left hand,nan,My daughter's left ring finger was crushed while closing a deadly,My 4 year old daughters left ring finger was crushed in a,The ring finger of my 4 year old daughter's left hand
401,i was told not to take the shingles vaccine.,I was told not to get the shingles vaccine.,"I was told not to get the shingles vaccine,",I was told not to get the shingles vaccine.,"I was told not to get the shingles vaccine,",I was told not to take the vaccine against shingles
402,After reading about christensenella i began to wonder what might,My mother suffers from MSA and it was discovered in 2009,nan,nan,nan,nan
403,i have so pain in period so please suggest any best tablet,"What does a positive MRSA test by PCR mean, can",nan,nan,nan,nan
404,Is it possible to obtain this ointment 25 mg in,Is it possible to get this ointment 25 mg in,Is it possible to get this 25mg ointment in,Is it possible to get this 25mg ointment in,Is there any other packaging for this 25 mg ointment,Is it possible to get this 25mg ointment in
405, dear sirmadam i am 40 year old man have,I am interested in treatments for intraductal papillary,nan,nan,nan,nan
406,i got diagnosed with rhabdomyosarcoma,I was diagnosed with stage 4 rhabdomyosar,I was diagnosed with stage 4 rhabdomyosar,I was diagnosed with stage 4 rhabdomyosar,I was diagnosed with Rhabdomyosarcoma,I was diagnosed with stage 4 rhabdomyosar
407,Broncomar maximum dextromethorphan hydrob,Broncomar Maximum Dextromethorphan Hydrob,On the label it says adults and children over 12 years 10,The label says adults and children 12 years and older 10 ml,"Dear Sirs, please tell me what is the correct dosage",Broncomar Maximum dextromethorphan hydrob
408, wholeexome sequencing points to considerable genetic heterogeneity of cerebral pals,I would like to know if it is possible to find out,I would like to know if it is possible to find out,I would like to know if it is possible to find out,nan,I would like to know if it is possible to find out
409,i have celiac disease and cant have any gluten can you,I have celiac disease and cannot eat gluten. Can you,I have celiac disease and cannot consume gluten. Can you,I have celiac disease and cannot consume gluten. Can you,"I have celiac disease and cannot eat any gluten, can",I have celiac disease and cannot consume gluten. Can you
410,i am 44 with have cystic fibrosis and have m,I have cystic fibrosis and MRSA in my lungs,nan,I have cystic fibrosis and MRSA in my lungs,I have cystic fibrosis and MRSA in my lungs,I am 44 years old with cystic fibrosis and have
411,Im suffering from beta thalassemia major from birth.,I have been suffering from beta thalassemia major since,I have been suffering from beta thalassemia major since,"i have had beta thalassemia major since birth,",nan,I have been suffering from beta thalassemia major since
412,11-year-old grandson does not seem to be growing,11 year old grandson doesn't seem to be growing normally for,11-year-old is 57 inches shorter than his friends,11-year-old grandson does not seem to be growing,11-year-old grandson is 57 inches shorter than his,11 year old grandson doesn't seem to be growing normally with
413,i have neurofibromatosis handed down by my,I was diagnosed with optic nerve giloma about 25 years,nan,I was diagnosed with optic giloma about 25 years ago,nan,I was diagnosed with optic gyloma about 25 years ago
414,i have been taking mylan indapamide 125 mg for,I have been taking Mylan Indapamide 125mg for,I am taking mylan indapamide 125 mg for 3,I have been taking Mylan Indapamide 125 mg for,I have been taking Mylan Indapamide 125mg for,nan
