,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
353,if a person is not got any seizure attack for,if a person has not had a seizure for,nan,if a person has not had an epileptic seizu,nan,if a person does not suffer from any seizure for
354,can i go in tub pool or shower while wearing the lido,"can i take a bath, swim or shower with the lid","can i go in the tub, pool, or shower while wearing","can i go in the bathtub, pool or shower while wearing the",nan,can i go swimming or shower while wearing the lidocaine
355,i have been taking tamoxifen for a,I have been taking Tamoxifen for a little over 4,tamoxifen has been taking side effects for just over,I have been taking tamoxifen for a little,if I stop taking Tamoxifen how long does it usually,i have been taking tamoxifen for a
356,i have a 10-year-old boy that was diagnosed,10 year old boy diagnosed with periventricular heterotopia .,the maximum lifespan of a person with this syndrome is 309 years,10 year old boy diagnosed with periventricular heterotopia .,my son has been diagnosed with periventricular heterotopia .,10-year-old son diagnosed with periventricular heterotopia 
357,cant find doctor hellolooking at your site it said that it had,"can't find a doctor hello, I looked on your site",nan,I looked in the directory but couldn't find a doctor ,nan,nan
358,i purchased ph test strips and i dont know how,nan,nan,nan,nan,nan
359,can older infants get jaundice what is the age range ,can older infants get jaundice? in what age range does,can older children get jaundice? what is the age range?,nan,nan,nan
360,chromosome 3 found in the bloods between the father and,Chromosome 3 was found in the blood of both father and,chromosome 3 found in blood between father and son .,chromosome 3 found in blood between father and son would this,Chromosome 3 was found in the blood of the father and,chromosome 3 found in blood between father and son .
361,thismedication 32714 2 tablets by mouth twice daily .,I started taking this medication 32714 orally twice a day,i started taking this medicine 32714 two tablets orally twice,I started taking this medicine 32714 two tablets orally twice ,32714 has a mouth ulcer on the inside of my lower,"I started taking this medicine 32714, two tablets orally twice"
362,ostiogenesis imperfecta is it possible to take out whatever,Ostiogenesis imperfecta: Is it possible to remove the,osteogenesis imperfecta is it possible to eliminate any cause of this disease,ostiogenesis imperfecta is it possible to remove what causes,Osteogenesis Imperfecta Is it possible to remove any,Ostiogenesis imperfecta: Is it possible to remove what
363,i am 64 yrs old and a type ,64-year-old has type II diabetes . can change the,i'm 64 and a type 2 diabetic i,I am 64 years old and a type II diabetic .,my diaphragm can push the air out like blowing,I am 64 years old and a type II diabetic .
364,metastatic malignant melanoma ive got skin cancer,nan,nan,nan,nan,nan
365,sir i was born with a problem of descended test,nan,nan,nan,nan,nan
366,i lost my self esteem lost quality of life and thought to,a bladder cancer required the removal of the organ . a,acellular matrix is a repopulation of a,my name is 48 Doctor I was touched by a bladder cancer where,"my name is Dr. 48, he has bladder cancer and needs","doctor, 48, was affected by bladder cancer so it was necessary to"
367,i have a four month old baby boy he likes,we are wondering if it is OK or dangerous to put extra strength,we were wondering if it would be okay or dangerous to use Ben,four month old baby boy likes to scratch his face and head with,baby boy likes to scratch his face and head with his nails like,nan
368,pectus excavatum is a symptom of,a symptom of pectus Excavatum is,our nephew who is 16 years old now has an abnormal breast the same,pectus excavatum is a symptom of,pectus excavatum is a symptom of,nan
369,my wife is pregnant she is in week30 of pregnancy now i,"my wife is pregnant, she is 30 weeks pregnant, now I will",nan,my wife is pregnant she is in 30 week of pregnancy now i,nan,my wife is pregnant she is in 30th week of pregnancy .
370,how do i know if the cause why my penis didn,how do I know if the reason why my penis did not,how do i know if the cause of my penis not,how can i know if the cause of my penis not,how do i know if the reason why my penis is,how can i find out if the reason why my penis
371,i was diagnosed with ncs about 10 yr,I was diagnosed with NCS about 10 years ago . they said,I was diagnosed with NCS about 10 years ago but little was known,I was diagnosed with NCS about 10 years ago but little was known,nan,I was diagnosed with NCS about 10 years ago but little was known
372,wisconsin supplier slushy ringers lac,mushy Lactated Ringer's is bitterly,if I let these fluids thaw at room temperature,if I let these liquids thaw at room temperature,nan,slush Ringers Lactate received from our supplier due to
373,loss of ability to taste and smell due to surgery that acut,can you recommend a group to help a patient who has lost,loss of ability to taste and smell due to surgery that severed the,loss of ability to taste and smell due to surgery that cut the ,lost sense of taste and smell due to surgery cutting the ol,lost ability to taste and smell due to surgery on the ol
374,i am a trained scientist whos 72 years old so ,the 10 lipids we're talking about are a trained,the unconfirmed non-trigger lipids are,lipids are unconfirmed and untriggered .,nan,"the question is, what exactly are the 10 lipids in question"
375,i have one left side leg is paralysis last 24 years ,"paralysis on the left side of the leg, since 24 years,",left leg paralyzed for 24 years the other parts of the,i have a paralyzed left leg for 24 years,"one left leg paralyzed for 24 years, the rest of",my left leg has been paralyzed for 24 years .
376,i was prescribed the medication lovasa a few,I was prescribed the drug Lovasa a few years ago ,my biggest concern is that I have an eye disease called Stargards,nan,my biggest concern is that I have an eye disease called Stargard’,nan
377,i had a thoricodimy and coll,nan,nan,nan,nan,nan
378,my grand child was born on date with multicystic dysplastic,my grandchild was born with multicystic dysplastic kidneys,my nephew was born today with multicystic dysplastic kidneys,my grandchild was born today with multicystic dysplastic kidney,my grandson was born with polycystic dysplastic kidney,my grandson was born on date with multiple dysplastic kidneys 
379,is there any risk to other individuals giving personal to someone on this medication,nan,nan,nan,nan,nan
380,my wife developed a very severe hoarse cough she has,"my wife has developed a strong, deep, hoarse","my wife has developed a very severe hoarse cough,","my wife has developed a very severe hoarse cough,",my wife has developed a very bad deep hoarse cough,nan
