,Unnamed: 0,gold_questions,fqd_german,fqd_italian,fqd_chineese,fqd_spanish,fqd_french,prqd_german,prqd_italian,prqd_chineese,prqd_french,prqd_spanish,qsv_german,qsv_italian,qsv_chineese,qsv_french,qsv_spanish
148,148,"Vegetarian, 66yo, 73kgs, gaining weight",,,,,,,,,,,,,,,
149,149,What's causing my extreme body shaking? T4 levels low.,,,,,,"Question about tremors, thyroid, and fibromyalgia.","Extreme internal tremor, thyroid issues, fibromyalgia.","Violent shaking, T4 level, thyroid check.","Extreme internal body tremors, low T4 levels, fibromyalgia causing issues",None,"Tremors and thyroid concern, need T4 level understanding, fibromyalgia complic",none needed,"Symptoms of violent body shaking, low T4 level, and chronic fibromyalgia","Has thyroid-related tremors, seeking advice for T4 levels and connecting fib",Seeking clarification on thyroid level and confusion due to combined health issues.
150,150,Is 430 ng/mL Psa value normal for an 8,Is a PSA value of 0.430 ngml normal or harmful,Is a PSA test value of 4.3 ng/mL harmful for an,Is a 0430 ng/ml PSA (age 86,"None, sentence not provided.",Is a 0.43 ng/mL PSA value for a 8,Is a PSA value of 0.430 ngml harmful for an,Is a 0.430 PSA value normal or harmful at age,Is a PSA test value of 430 ng/ml normal for an,Is a PSA test value of 0.43 ng/ml for an,No summary available as requested question is not clear and concise.,Is 0.430 ngml PSA value normal for an 8,Grandfather's PSA at 86 years: Is this normal for healthy,Is a PSA test value of 0.43 ng/ml harmful or,Is a PSA test value of 0.43 ng/mL at age,My grandfather's PSA test value is 0.43 ng/ml
151,151,"Cries & pain in bed, strong-increased, 50-5","What can we do to help stop her chronic pain, which is reportedly increasing,",What can I do to help her with her pain and prevent it? She',What can I do to help her with her 50/50 survival,Why does she cry at night due to pain and why might it be common at,Pain causing sleepless nights and surgery 50% survival. How can I help,What can be done for the most common age-related condition causing pain and sleepless,"What can be done for pain due to non-hereditary condition, with only",What can be done for severe pain causing insomnia? Doctor says 50%,"Insomnia and pain from unknown source, concerns about surgery outcome, seeking help","Why is the mom in pain, can't sleep at night, and what",What can we do to help with age-related pain and 50/,What can we do to help her with her painful condition?,What can I do to help her with her pain and prevent it worsening?,How to help pain in an unknown condition with surgery at 50% chance,"Chronic pain caused by age, surgery not effective, pain increasing."
152,152,Help with teen pregnancy research for school project.,Student seeking information on teen preg. for research project.,"Research idea on teenage pregnancy, seeking valuable info.
5-word: Teen",I'm a student facing teenage pregnancy. Can your org provide info on it,"Teenage student conducting research on teen pregnancy, seeking answers from organization to help her","Research on teen preg@ncess, seeking org. insights.",Employee from organization: Can you give valuable info on teen pregnancy?,Seeking advice for teenage pregnancy research project.,"Teenage pregnancy & its effects on young lives. Need info.

Te","As a CM student, I want to ask your org for advice on teenage pregnancy","As a student researching teen pregnancy at Carver Military Academy, I'm seeking","Student at Carver Military Academy interested in teen pregnancy, seeks info from organization",Can you provide info on teenage pregnancy for my research project at Carver Military Academy,Seeking information on teenage pregnancy from organization.,Can someone from your organization help with teenage pregnancy research?,Research on teen pregnancy at Carver Military Academy seeks info about how it affects young
153,153,Should I get shingles vaccine if I had it years ago and am stressed?,Should I get the shingles vaccine? I have stress in my life.,"I had shingles 6-7 years ago, should I get the vaccine?",Should I get the shingles vaccine after having shingles?,Should get shingles vaccine despite life stress?,Do I still need the shingles vaccine if I had shingles in the past and have,"I had shingle, is still vaccine recommend for me? I have high stress",Should I still get shingles vaccine? Stressful life.,Should I get shingles vaccine after having shingles 6-7 years ago? Stress,,Should I get shingles vaccine? Stress a significant factor in life.,Should I get the shingles vaccine if I had it before + stress in life?,Should I get shingles vaccine after having shingles in the past? Stress-sensitive person,Should I still get the shingles vaccine since I had shingles before? Also stressed.,None,Have shingles on face. Should I get the shingles vaccine? Need to know the
154,154,Shake or not shake? Qvar vs. ProAir confusion,Qvar inhaler shakes before using?,"Clarify whether QVAR needs to be shaken before each use, as the Kaiser","Qvar needs shaking before each use, clear in instructions, not clear on Kaiser",QVAR shaken before use?,"Hello, is Qvar need to be shaken before each use? Clear by Kaiser",Qvar - Shake before use?,Qvar should be shaken before use but Proair is not specified.,Does qvar need to be shaken before use?,Does Qvar need to be shaken before use?,Shake or not shake? Kaiser instructions conflicting.,"""Qvar use instructions""; clarify shaking before each use; related to Kaiser box","Do I need to shake Qvar?
I don't find the information",Clarify whether Qvar needs shaking before each use; discrepancy between box label and,"Can you provide a rephrased version of the given question, while keeping the","Should QVAR be shaken before use?

Explanation: I condensed the original"
155,155,"Wife allergic to titanium dioxide; is it used to coat tablets?

Explanation",Allergy to titanium dioxide; coatings; inactive ingredients; use.,"allergic to titanium dioxide, coated tablets, inactive ingredient, sources.","Speak with allergy: Are tablets coated w/ titanium dioxide? If yes, why",Rewrite a particularly lengthy question to a more concise form.,What is an efficient and concise way to ask: How can we use technology to,,,,,,,,,,
156,156,Are there any connections between Angelman syndrome and pancreatitis in patients with AS who,Are there any connections between Angelman syndrome and pancreatitis?,Is there a link between Angelman syndrome and pancreatitis? Son had pancreatitis,"Does Angelman syndrome cause pancreatitis or is there a connection?

In",Has relationship been found between Angelman syndrome and pancreatitis?,Are there any connections between Angelman syndrome and pancreatitis?,Has any link found between Angelman syndrome and pancreatitis? Recurrent pancreatitis,"Has there been a link between Angelman syndrome and pancreatitis? My son,",Is there a link between Angelman syndrome and pancreatitis? My son died of,Are there any connections between Angelman syndrome and pancreatitis?,Relationship found between Angelman syndrome and pancreatitis? Increasing risk of pancreatitis in,Any links found between Angelman syndrome and pancreatitis? Son died from pancreatitis,What is the connection between Angelman syndrome and pancreatitis?,Is there a link between Angelman syndrome and pancreatitis? Recurrent pancreatitis,Links between Angelman syndrome and pancreatitis?,Are Angelman syndrome and pancreatitis connected? My son had pancreatitis and passed
157,157,Need stem cell therapy for severe 24yo man w/ Wilson's,,,,,,"24 year old man, severe Wilson's disease, seeking stem cell",Can you provide a concise version of the following question?,Wilson's disease can be treated with stem cell therapy. Help fund Mongolia,"50 year old man, Wilson's disease, Mongolia for stem",Can stem cell therapy help a severe case of Wilsons Disease in a blind,Help needed for Wilson's disease treatment in Mongolia.,No summary needed as the question is already very short and concise.,"24yo M, Wilson disease treatment - suitable? Hospital care in Mong",Can a 24-year-old man get stem cell therapy for Wilson,Can blind male with Wilsons Disease receive serious stem cell therapy? Mongolia
158,158,"I have PN, not diabetes, unable to find cause; will pregabalin","No diabetes, peripheral neuropathy, numerous tests, difficulty determining cause, pregab","Have peripheral neuropathy, no diabetes, no cause found, pregabalin helps","Neuropathy pain, does pregabalin work?","Tests unsuccessful to identify cause of neuropathy in patient with peripheral neuropathy, not","No diabetes, peripheral neuropathy, many tests, no cause found, pregab","Neuropathy, numerous tests, seek treatment",There is no valid input to replace.,"Does pregabalin help with peripheral neuropathy?

Long answer: A","No diabetes, peripheral neuropathy, many tests, pregabalin, pain relief",Improve conciseness without changing the meaning of the sentence.,Neuropathy with no diabetes; pain caused by unknown cause; pregabalin,"The original question is asking for a summary in fewer words. However, it","Peripheral neuropathy, no diabetes, pain relief - Pregabalin.",Neuropathy with no known cause; question if pregabalin helps with pain,Tests unsuccessful for peripheral neuropathy cause.
159,159,Tysabri injection for ALS-affected wife?,"Please advise about Tysabri for ALS, 54-year",Is Tysabri useful for ALS case with limited mobility and speech?,What injection can alleviate my wife's ALS symptoms?,Has wife with ALS. Need tysabri injection info.,54-year-old woman diagnosed with ALS for 2 years,Tysabri helpful in wife's ALS? Advice please.,"none of the nan. There are many synonyms available to replace ""nan,"" such","My wife has ALS, can you advise on Tysabri treatment?","Wife diagnosed with ALS, seeking advice on Tysabri injection.",Is Tysabri injection effective for treating ALS in a 54,54-year-old woman has ALS; seeking Tysab,"Wife has ALS, can you advise on Tysabri for treatment?",Tysabri effective in treating ALS & what is wife's condition,(No summary available for this task as it involves a completely different action.),54-year-old wife with ALS—can she benefit from
